
Mediation Sensitivity Analysis for Average Direct Effect

Sensitivity Region

         Rho    ADE 95% CI Lower 95% CI Upper R^2_M*R^2_Y* R^2_M~R^2_Y~
 [76,] -0.24 0.0052      -0.0001       0.0106       0.0576       0.0372
 [77,] -0.23 0.0052      -0.0001       0.0106       0.0529       0.0342
 [78,] -0.22 0.0052      -0.0001       0.0106       0.0484       0.0313
 [79,] -0.21 0.0052      -0.0001       0.0105       0.0441       0.0285
 [80,] -0.20 0.0053       0.0000       0.0105       0.0400       0.0259
 [81,] -0.19 0.0053       0.0000       0.0105       0.0361       0.0233
 [82,] -0.18 0.0053       0.0000       0.0105       0.0324       0.0209
 [83,]  0.38 0.0056       0.0000       0.0112       0.1444       0.0933
 [84,]  0.39 0.0056       0.0000       0.0112       0.1521       0.0983
 [85,]  0.40 0.0056      -0.0001       0.0113       0.1600       0.1034
 [86,]  0.41 0.0056      -0.0001       0.0113       0.1681       0.1087
 [87,]  0.42 0.0056      -0.0001       0.0113       0.1764       0.1140
 [88,]  0.43 0.0056      -0.0001       0.0114       0.1849       0.1195
 [89,]  0.44 0.0056      -0.0001       0.0114       0.1936       0.1251
 [90,]  0.45 0.0056      -0.0002       0.0114       0.2025       0.1309
 [91,]  0.46 0.0056      -0.0002       0.0115       0.2116       0.1368
 [92,]  0.47 0.0056      -0.0002       0.0115       0.2209       0.1428
 [93,]  0.48 0.0057      -0.0002       0.0116       0.2304       0.1489
 [94,]  0.49 0.0057      -0.0003       0.0116       0.2401       0.1552
 [95,]  0.50 0.0057      -0.0003       0.0117       0.2500       0.1616
 [96,]  0.51 0.0057      -0.0003       0.0117       0.2601       0.1681
 [97,]  0.52 0.0057      -0.0004       0.0118       0.2704       0.1748
 [98,]  0.53 0.0057      -0.0004       0.0118       0.2809       0.1816
 [99,]  0.54 0.0057      -0.0004       0.0119       0.2916       0.1885
[100,]  0.55 0.0057      -0.0005       0.0119       0.3025       0.1955
[101,]  0.56 0.0057      -0.0005       0.0120       0.3136       0.2027
[102,]  0.57 0.0057      -0.0006       0.0120       0.3249       0.2100
[103,]  0.58 0.0057      -0.0006       0.0121       0.3364       0.2174
[104,]  0.59 0.0058      -0.0007       0.0122       0.3481       0.2250
[105,]  0.60 0.0058      -0.0007       0.0122       0.3600       0.2327
[106,]  0.61 0.0058      -0.0008       0.0123       0.3721       0.2405
[107,]  0.62 0.0058      -0.0008       0.0124       0.3844       0.2485
[108,]  0.63 0.0058      -0.0009       0.0125       0.3969       0.2566
[109,]  0.64 0.0058      -0.0009       0.0126       0.4096       0.2648
[110,]  0.65 0.0058      -0.0010       0.0126       0.4225       0.2731
[111,]  0.66 0.0058      -0.0011       0.0127       0.4356       0.2816
[112,]  0.67 0.0058      -0.0011       0.0128       0.4489       0.2902
[113,]  0.68 0.0059      -0.0012       0.0129       0.4624       0.2989
[114,]  0.69 0.0059      -0.0013       0.0130       0.4761       0.3077
[115,]  0.70 0.0059      -0.0014       0.0131       0.4900       0.3167
[116,]  0.71 0.0059      -0.0015       0.0133       0.5041       0.3258
[117,]  0.72 0.0059      -0.0015       0.0134       0.5184       0.3351
[118,]  0.73 0.0059      -0.0016       0.0135       0.5329       0.3445
[119,]  0.74 0.0060      -0.0017       0.0137       0.5476       0.3540
[120,]  0.75 0.0060      -0.0019       0.0138       0.5625       0.3636
[121,]  0.76 0.0060      -0.0020       0.0140       0.5776       0.3734
